account,product,contract,direction,qty,entry_price,entry_time,exit_price,exit_time,pnl,source
PA-APEX-484839-01,MYM,MYMM6,Short,1.0,50454.0,2026-06-11T13:28:50,50814.0,2026-06-11T13:41:59,-180.0,Orders-25.csv
PA-APEX-484839-01,MYM,MYMM6,Short,2.0,50522.0,2026-06-11T13:28:54,50814.0,2026-06-11T13:41:59,-292.0,Orders-25.csv
TAKEPROFIT718652247,MYM,MYMM6,Long,1.0,51254.0,2026-06-12T16:45:01,51228.0,2026-06-12T16:55:02,-13.0,Orders-27.csv
APEX-484839-07,MYM,MYMM6,Long,1.0,51258.0,2026-06-12T16:44:57,51239.0,2026-06-12T16:59:00,-9.5,Orders-28.csv
TAKEPROFIT718652247,MES,MESU6,Long,1.0,7627.5,2026-06-15T16:50:09,7626.25,2026-06-15T16:55:04,-6.25,Orders-30.csv
APEX-484839-07,MES,MESU6,Long,1.0,7627.5,2026-06-15T16:50:01,7624.75,2026-06-15T16:59:01,-13.75,Orders-29.csv
TAKEPROFIT718652247,M2K,M2KU6,Short,1.0,2962.5,2026-06-16T16:51:43,2961.8,2026-06-16T16:55:02,3.5,Orders-31.csv
APEX-484839-07,M2K,M2KU6,Short,1.0,2962.1,2026-06-16T16:53:31,2962.1,2026-06-16T16:59:00,-0.0,Orders-32.csv
TAKEPROFIT718652247,MYM,MYMU6,Short,1.0,52035.0,2026-06-17T16:52:51,52049.0,2026-06-17T16:55:01,-7.0,Orders-35.csv
APEX-484839-07,MYM,MYMU6,Short,1.0,52032.0,2026-06-17T16:53:09,52044.0,2026-06-17T16:59:02,-6.0,Orders-33.csv
APEX-484839-07,MYM,MYMU6,Long,1.0,52220.0,2026-06-18T06:02:15,52371.0,2026-06-18T09:30:38,75.5,Orders-34.csv
TAKEPROFIT718652247,MYM,MYMU6,Long,1.0,52220.0,2026-06-18T06:02:15,52371.0,2026-06-18T09:30:38,75.5,Orders-36.csv
TAKEPROFIT718652247,MNQ,MNQU6,Short,1.0,30593.25,2026-06-18T22:01:36,30527.0,2026-06-18T23:34:39,132.5,Orders-36.csv
APEX-484839-07,MNQ,MNQU6,Short,1.0,30589.75,2026-06-18T22:01:27,30522.5,2026-06-18T23:34:59,134.5,Orders-34.csv
TAKEPROFIT718652247,M2K,M2KU6,Short,2.0,3033.3,2026-06-24T10:58:16,3023.1,2026-06-24T16:55:01,102.0,Orders-39.csv
APEX-484839-07,M2K,M2KU6,Short,2.0,3033.3,2026-06-24T10:58:16,3023.4,2026-06-24T16:59:02,99.0,Orders-40.csv
TAKEPROFIT718652247,MNQ,MNQU6,Short,1.0,30489.75,2026-06-30T16:50:04,30491.5,2026-06-30T16:55:01,-3.5,Orders-42.csv
APEX-484839-07,MNQ,MNQU6,Short,1.0,30492.75,2026-06-30T16:50:09,30497.5,2026-06-30T16:59:01,-9.5,Orders-41.csv
TAKEPROFIT718652247,M2K,M2KU6,Short,2.0,3034.7,2026-07-02T01:10:43,3025.0,2026-07-02T02:47:15,97.0,Orders-43.csv
APEX-484839-07,M2K,M2KU6,Short,2.0,3034.7,2026-07-02T01:10:43,3025.0,2026-07-02T02:47:15,97.0,Orders-44.csv
TAKEPROFIT718652247,M2K,M2KU6,Short,2.0,3032.7,2026-07-02T04:23:57,3038.5,2026-07-02T05:38:26,-58.0,Orders-43.csv
APEX-484839-07,M2K,M2KU6,Short,2.0,3032.7,2026-07-02T04:23:57,3038.5,2026-07-02T05:38:26,-58.0,Orders-44.csv
APEX-484839-07,MNQ,MNQU6,Short,2.0,30112.25,2026-07-02T08:08:46,29994.0,2026-07-02T10:27:25,473.0,Orders-44.csv
TAKEPROFIT718652247,MNQ,MNQU6,Short,2.0,30112.25,2026-07-02T08:08:46,29994.0,2026-07-02T10:27:25,473.0,Orders-43.csv
TAKEPROFIT718652247,MCL,MCLQ6,Short,4.0,68.87,2026-07-03T10:01:11,68.71,2026-07-03T12:54:19,64.0,Orders-46.csv
APEX-484839-07,MCL,MCLQ6,Short,4.0,68.87,2026-07-03T10:01:11,68.76,2026-07-03T12:58:38,44.0,Orders-45.csv
TAKEPROFIT718652247,MCL,MCLQ6,Short,3.0,68.98,2026-07-05T22:05:09,68.63,2026-07-06T16:55:02,105.0,Orders-47.csv
APEX-484839-07,MCL,MCLQ6,Short,3.0,68.98,2026-07-05T22:05:09,68.62,2026-07-06T16:59:04,108.0,Orders-48.csv
