Contracts,Leverage,Direction,Order No.,Transaction Time(UTC+8),Order Type,Filled Type,Filled Qty,Filled Price,Fees,Liquidation fee,Position order no.,P/L,Margin,Close price,Swaps,Opening fee,Withholding profit,Net P/L
API3USDT,10,SELL,72132913,2025-03-04 09:25:10,Market,CLOSE,200.00,0.64980000,-1.56000000,-1.56000000,21134058,-58.47000000,18.84300000,0.64980000,-,-,-,-
API3USDT,10,BUY,70060852,2025-02-18 16:46:40,Market,OPEN,100.00,0.94110000,-0.04000000,-,21134058,-,9.42150000,-,-,-,-,-
API3USDT,10,BUY,70060327,2025-02-18 16:38:14,Limit,OPEN,100.00,0.94320000,-0.02000000,-,21134058,-,9.42150000,-,-,-,-,-
XRPUSDT,5,SELL,67969759,2025-02-03 08:43:12,Market,CLOSE,500.00,2.25067000,-11.25000000,-11.25000000,19794970,66.52000000,211.76220000,2.25067000,-,-,-,-
HBARUSDT,5,SELL,67965104,2025-02-03 08:23:43,Market,CLOSE,4000.00,0.24007000,-11.52000000,-11.52000000,19798162,-165.92000000,225.24000000,0.24007000,-,-,-,-
HBARUSDT,5,SELL,67918670,2025-02-03 02:16:40,Market,CLOSE,1000.00,0.25141000,-0.11000000,-,19798162,-30.14000000,56.31000000,0.25141000,-,-,-,-
CROUSDT,5,SELL,67915397,2025-02-03 01:54:27,Market,CLOSE,7000.00,0.10837000,-9.10000000,-9.10000000,20106254,-221.06000000,195.93000000,0.10837000,-,-,-,-
XLMUSDT,5,SELL,67896179,2025-02-03 00:55:06,Market,CLOSE,6000.00,0.36767700,-26.47000000,-26.47000000,19924126,-499.55000000,541.12220004,0.36767700,-,-,-,-
CROUSDT,5,BUY,64804140,2025-01-13 10:53:19,Market,OPEN,1000.00,0.13558000,-0.06000000,-,20106254,-,27.99000000,-,-,-,-,-
CROUSDT,5,BUY,64773407,2025-01-13 07:11:35,Market,OPEN,1000.00,0.13732000,-0.06000000,-,20106254,-,27.99000000,-,-,-,-,-
CROUSDT,5,BUY,64730854,2025-01-12 20:58:09,Market,OPEN,1000.00,0.13932000,-0.06000000,-,20106254,-,27.99000000,-,-,-,-,-
